id_producto;nombre;tipo;precio;numero_cajas
1511;MELLTORP / ADDE;living;287200;2
2755;SANDARED;living;276000;1
2879;PÅHL;living;340000;1
2800;FINNVARD;living;128000;4
276;HYLLIS;dormitorio;109600;2
2474;NORSBORG;living;1088000;2
3715;Reflector LED 150W;iluminacion;79990;2
2231;GRÖNLID;living;1756000;1
1889;STUVA / FRITIDS;dormitorio;316000;1
398;HEMNES;dormitorio;3188800;3
2077;TRANARÖ;living;76000;3
1687;NORDLI;dormitorio;784000;5
668;HAVSTA;dormitorio;64000;1
1989;TÄRNÖ;living;71200;1
2419;NYHAMN;living;480000;3
1807;TROFAST;dormitorio;12000;2
1885;ANTILOP;dormitorio;16000;3
788;JONAXEL;dormitorio;780000;4
2750;NORDKISA;living;380800;5
2023;SOLLERÖN;living;276000;1
2581;LIDHULT;living;4032000;5
3538;PAX / TYSSEDAL;dormitorio;4852000;2
3223;EKEDALEN / ODGER;living;2212000;4
2113;MAMMUT;living;47200;3
3672;PAX;dormitorio;2444000;3
2550;GRÖNLID;living;2832000;4
2874;HEMNES;living;300000;5
2459;GRÖNLID;living;716000;2
3292;BESTÅ;living;1120000;1
2664;MICKE;living;552000;1
2086;SJÄLLAND;living;1343200;5
2853;NORRÅKER;living;476800;3
1964;TOSTERÖ;living;63200;2
1884;SUNDVIK;dormitorio;796000;5
529;BESTÅ;dormitorio;20000;1
1758;TROFAST;dormitorio;316000;3
2288;FÄRLÖV;living;1468800;3
3218;NORRÅKER / RÖNNINGE;living;1580800;4
3020;ÖVRARYD / JANINGE;living;1228000;4
9;EKEDALEN / EKEDALEN;living;1740800;2
3549;PAX;dormitorio;1856000;1
3335;BRIMNES;living;656000;4
2222;SÖDERHAMN;living;1596000;2
2589;LIDHULT;living;6298400;4
2511;VIMLE;living;412000;3
1010;BESTÅ;living;1176000;2
2970;EKEDALEN / BERNHARD;living;4372000;3
3597;PAX;dormitorio;1736000;2
2194;HAVSTA;living;1116000;2
2470;LIDHULT;living;2486400;4
2243;NYHAMN;living;1176000;4
679;UPPLEVA;dormitorio;159200;5
1970;ÄPPLARÖ;living;204000;1
52;SLÄKT;dormitorio;432000;1
1314;VALLENTUNA;living;1174400;3
2114;MAMMUT;living;23200;4
2712;NORDKISA;living;196000;4
1720;NORDLI;dormitorio;848000;3
2733;JÄPPLING;living;436000;2
3550;PAX;dormitorio;1752000;4
2900;SKARSTA;living;800000;4
42;NORRÅKER / NORRARYD;living;1012800;5
2520;LIDHULT;living;3232000;5
2655;LINNMON / ADILS;living;116000;5
391;JONAXEL;dormitorio;16000;2
2753;KORNSJÖ;living;156000;3
3613;PAX;dormitorio;1904000;3
3621;PAX;dormitorio;2529600;4
2871;LINNMON / ODDVALD;living;260000;1
1925;TROFAST;dormitorio;140000;1
2488;GRÖNLID;living;372000;4
2438;NORSBORG;living;1024000;1
2765;LISTERBY;living;396000;1
3495;SUNDVIK;dormitorio;876000;4
2894;VANGSTA;living;436000;3
817;LIXHULT;living;464000;5
3047;EKEDALEN;living;636000;2
426;SVALNÄS;dormitorio;56000;5
728;SINDVIK;dormitorio;80000;1
806;BESTÅ;living;656000;3
743;EKET;dormitorio;1008000;3
2631;MELLTORP / ADDE;living;143200;1
419;FIXA;dormitorio;4480;2
2460;NORSBORG;living;3376000;3
2382;VALLENTUNA;living;1174400;2
598;VEBERÖD;dormitorio;516000;4
2264;GAMLARP;living;1916000;2
199;FLOTTEBO;dormitorio;1788800;4
2626;LYCKSELE MURBO;living;556000;2
3393;BESTÅ;living;384000;2
1072;HACKÅS;living;13600;1
